Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\dubbo\src\main\java,1,81,53,41,9,8,0,20,110,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\dubbo\src\main\java\io,1,81,53,41,9,8,0,20,110,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\dubbo\src\main\java\io\seata,1,81,53,41,9,8,0,20,110,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\dubbo\src\main\java\io\seata\dubbo,1,81,53,41,9,8,0,20,110,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\rm,5,570,327,227,30,73,0,170,768,75,490
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\rm-datasource,78,12290,6750,4530,805,1871,1,3669,14645,1170,7644
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\rm-datasource\src,78,12290,6750,4530,805,1871,1,3669,14645,1170,7644
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\rm-datasource\src\main,65,8666,4278,2925,536,1112,1,3276,12810,975,6370
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\rm-datasource\src\main\java,65,8666,4278,2925,536,1112,1,3276,12810,975,6370
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\rm-datasource\src\main\java\io,65,8666,4278,2925,536,1112,1,3276,12810,975,6370
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\rm-datasource\src\main\java\io\seata,65,8666,4278,2925,536,1112,1,3276,12810,975,6370
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\rm-datasource\src\main\java\io\seata\rm,65,8666,4278,2925,536,1112,1,3276,12810,975,6370
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\rm-datasource\src\main\java\io\seata\rm\datasource,63,8565,4250,2905,533,1095,1,3220,12538,945,6174
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\rm-datasource\src\main\java\io\seata\rm\datasource\exec,13,1399,734,566,114,160,0,505,2336,195,1274
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\rm-datasource\src\main\java\io\seata\rm\datasource\sql,24,2946,1333,938,199,332,0,1281,4699,360,2352
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\rm-datasource\src\main\java\io\seata\rm\datasource\sql\druid,5,589,378,281,62,74,0,137,697,75,490
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\rm-datasource\src\main\java\io\seata\rm\datasource\sql\struct,10,1739,802,572,128,205,0,732,2420,150,980
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\rm-datasource\src\main\java\io\seata\rm\datasource\undo,14,1728,693,434,65,182,1,853,3188,210,1372
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\rm-datasource\src\main\java\io\seata\rm\datasource\undo\mysql,4,828,322,160,26,58,1,448,1330,60,392
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\rm-datasource\src\main\java\io\seata\rm\datasource\undo\mysql\keyword,1,557,156,30,8,28,0,373,936,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\rm-datasource\src\test,13,3624,2472,1605,269,759,0,393,1835,195,1274
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\rm-datasource\src\test\java,13,3624,2472,1605,269,759,0,393,1835,195,1274
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\rm-datasource\src\test\java\io,13,3624,2472,1605,269,759,0,393,1835,195,1274
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\rm-datasource\src\test\java\io\seata,13,3624,2472,1605,269,759,0,393,1835,195,1274
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\rm-datasource\src\test\java\io\seata\rm,13,3624,2472,1605,269,759,0,393,1835,195,1274
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\rm-datasource\src\test\java\io\seata\rm\datasource,12,3568,2453,1591,268,747,0,368,1718,180,1176
